max_depth,learning_rate,min_child_weight,gamma,best_iteration,mae,mape,seconds
8,0.1,1,0.1,58,1771.7892009736413,5.68449320309817,0.6927306652069092
8,0.1,1,0.0,58,1771.7892009736413,5.68449320309817,0.6993923187255859
8,0.05,5,0.1,135,1774.4661279202107,5.687113084184014,1.191577434539795
8,0.05,5,0.0,135,1774.4661279202107,5.687113084184014,1.242450475692749
8,0.05,1,0.1,104,1774.798294745048,5.689090713217307,1.0540995597839355
8,0.05,1,0.0,104,1774.798294745048,5.689090713217307,1.038466215133667
6,0.03,5,0.1,339,1775.2233151704675,5.695504307173403,2.3732590675354004
6,0.03,5,0.0,339,1775.2233151704675,5.695504307173403,3.623462438583374
8,0.1,5,0.1,59,1775.6289684627955,5.695461601723488,0.7193222045898438
8,0.1,5,0.0,59,1775.6289684627955,5.695461601723488,0.7788121700286865
6,0.05,1,0.0,206,1777.3022348887573,5.70722281361245,1.3887536525726318
6,0.05,1,0.1,206,1777.3022348887573,5.70722281361245,1.3674302101135254
6,0.03,1,0.0,311,1779.0586657741324,5.708109716663855,3.038034439086914
6,0.03,1,0.1,311,1779.0586657741324,5.708109716663855,3.1483967304229736
6,0.1,1,0.0,133,1779.1679413228537,5.715432923344924,1.006162166595459
6,0.1,1,0.1,133,1779.1679413228537,5.715432923344924,0.9021847248077393
8,0.03,5,0.0,209,1779.6953227573067,5.702925305852969,1.7455987930297852
8,0.03,5,0.1,209,1779.6953227573067,5.702925305852969,1.819227933883667
6,0.05,5,0.0,213,1779.9960056709526,5.71227715274873,1.3619089126586914
6,0.05,5,0.1,213,1779.9960056709526,5.71227715274873,1.535031795501709
4,0.1,1,0.1,221,1781.4205709841306,5.729960055027028,1.0547585487365723
4,0.1,1,0.0,221,1781.4205709841306,5.729960055027028,1.4302101135253906
8,0.03,1,0.0,197,1781.451740709556,5.7093499371159435,1.8489952087402344
8,0.03,1,0.1,197,1781.451740709556,5.7093499371159435,1.6827976703643799
4,0.1,5,0.0,341,1782.8369045856405,5.736590284861885,2.3033926486968994
4,0.1,5,0.1,341,1782.8369045856405,5.736590284861885,2.6445329189300537
4,0.03,5,0.0,823,1785.2061303908836,5.733518621497096,3.6738169193267822
4,0.03,5,0.1,823,1785.2061303908836,5.733518621497096,3.281653881072998
6,0.1,5,0.1,101,1786.046058875157,5.735801684555477,0.7749016284942627
6,0.1,5,0.0,101,1786.046058875157,5.735801684555477,0.7529072761535645
4,0.03,1,0.1,591,1791.0301769965179,5.752666040959659,2.9732673168182373
4,0.03,1,0.0,591,1791.0301769965179,5.752666040959659,4.531605958938599
4,0.05,1,0.1,383,1792.1655640805172,5.76630709165288,1.651935338973999
4,0.05,1,0.0,383,1792.1655640805172,5.76630709165288,1.5253627300262451
4,0.05,5,0.1,423,1792.8083997531112,5.769088833960755,2.2676334381103516
4,0.05,5,0.0,423,1792.8083997531112,5.769088833960755,1.7556579113006592
